"","x"
"2142",122000
"2143",127000
"2144",117000
"2145",305900
"2146",228500
"2147",270000
"2148",192000
"2149",213000
"2150",200000
"2151",267000
"2152",228000
"2153",275000
"2154",211000
"2155",285000
"2156",240000
"2157",131500
"2158",246900
"2159",219500
"2160",185000
"2161",179400
"2162",213500
"2163",179600
"2164",173500
"2165",167840
"2166",168675
"2167",167000
"2168",140000
"2169",118500
"2170",110000
"2171",94750
"2172",122000
"2173",110000
"2174",118500
"2175",133500
"2176",148000
"2177",141000
"2178",155000
"2179",157000
"2180",171500
"2181",183850
"2182",184750
"2183",140000
"2184",131750
"2185",61500
"2186",111000
"2187",98500
"2188",79000
"2189",108500
"2190",110000
"2191",112000
"2192",125000
"2193",79275
"2194",119000
"2195",200000
"2196",150000
"2197",165000
"2198",96500
"2199",136500
"2200",146500
"2201",175000
"2202",148500
"2203",141500
"2204",189950
"2205",135000
"2206",164000
"2207",90350
"2208",139000
"2209",119750
"2210",145000
"2211",145000
"2212",238000
"2213",153500
"2214",239000
"2215",359100
"2216",188000
"2217",220000
"2218",140000
"2219",315000
"2220",259500
"2221",257500
"2222",219500
"2223",217000
"2224",201000
"2225",215000
"2226",123900
"2227",170000
"2228",200000
"2229",198000
"2230",200624
"2231",315000
"2232",115000
"2233",141000
"2234",87000
"2235",129850
"2236",100000
"2237",150909
"2238",75200
"2239",118400
"2240",67000
"2241",152000
"2242",68104
"2243",119600
"2244",140000
"2245",124900
"2246",375000
"2247",235000
"2248",183500
"2249",156000
"2250",134000
"2251",215000
"2252",245000
"2253",210000
"2254",148000
"2255",143000
"2256",244000
"2257",330000
"2258",170000
"2259",257000
"2260",231713
"2261",267300
"2262",265900
"2263",239000
"2264",248900
"2265",174000
"2266",187500
"2267",204000
"2268",180500
"2269",187500
"2270",282000
"2271",178000
"2272",270000
"2273",279900
"2274",186700
"2275",283463
"2276",392000
"2277",281213
"2278",147000
"2279",130000
"2280",140000
"2281",132250
"2282",143000
"2283",168000
"2284",129900
"2285",134000
"2286",85500
"2287",106500
"2288",93900
"2289",75000
"2290",84500
"2291",75190
"2292",146800
"2293",153500
"2294",188000
"2295",196000
"2296",157000
"2297",138000
"2298",129500
"2299",80000
"2300",129500
"2301",135000
"2302",124500
"2303",139000
"2304",93500
"2305",124500
"2306",149900
"2307",157500
"2308",169000
"2309",252000
"2310",192100
"2311",183500
"2312",222000
"2313",170000
"2314",187500
"2315",202000
"2316",185000
"2317",320000
"2318",240000
"2319",250000
"2320",239900
"2321",309000
"2322",274725
"2323",270000
"2324",183500
"2325",165600
"2326",176500
"2327",130000
"2328",239000
"2329",275000
"2330",457347
"2331",545224
"2332",356383
"2333",556581
"2334",361919
"2335",535000
"2336",401179
"2337",438780
"2338",169000
"2339",145000
"2340",318000
"2341",319000
"2342",470000
"2343",202500
"2344",229000
"2345",235000
"2346",190000
"2347",169000
"2348",241500
"2349",188900
"2350",207500
"2351",250000
"2352",179900
"2353",172000
"2354",294323
"2355",184500
"2356",153500
"2357",162900
"2358",181000
"2359",155000
"2360",138800
"2361",116050
"2362",88000
"2363",97500
"2364",190000
"2365",105500
"2366",125500
"2367",83000
"2368",116000
"2369",91500
"2370",118000
"2371",89000
"2372",108000
"2373",94500
"2374",146300
"2375",145000
"2376",123000
"2377",137500
"2378",144000
"2379",315000
"2380",412083
"2381",342643
"2382",252000
"2383",465000
"2384",293000
"2385",415000
"2386",326000
"2387",325300
"2388",309000
"2389",300000
"2390",275500
"2391",338500
"2392",345000
"2393",344133
"2394",298236
"2395",329900
"2396",360000
"2397",281000
"2398",372397
"2399",378000
"2400",374000
"2401",437154
"2402",275000
"2403",279000
"2404",185850
"2405",282500
"2406",202500
"2407",202665
"2408",332200
"2409",310090
"2410",171750
"2411",169990
"2412",170440
"2413",169985
"2414",179665
"2415",219210
"2416",174190
"2417",172785
"2418",258000
"2419",185101
"2420",210250
"2421",234000
"2422",215000
"2423",246990
"2424",178740
"2425",225000
"2426",167240
"2427",156820
"2428",213490
"2429",264561
"2430",246578
"2431",192140
"2432",183200
"2433",178000
"2434",201490
"2435",230500
"2436",180000
"2437",172400
"2438",215000
"2439",199900
"2440",173000
"2441",287602
"2442",230000
"2443",348000
"2444",286000
"2445",300000
"2446",625000
"2447",405000
"2448",280000
"2449",258000
"2450",350000
"2451",584500
"2452",321000
"2453",290000
"2454",315000
"2455",252000
"2456",336820
"2457",423000
"2458",290000
"2459",232000
"2460",199000
"2461",198600
"2462",405749
"2463",232600
"2464",266000
"2465",186500
"2466",200825
"2467",197000
"2468",185000
"2469",176000
"2470",187750
"2471",139500
"2472",186800
"2473",132000
"2474",142500
"2475",158000
"2476",184000
"2477",184900
"2478",187000
"2479",175900
"2480",248500
"2481",172000
"2482",151000
"2483",150000
"2484",107000
"2485",119900
"2486",129500
"2487",125000
"2488",119500
"2489",144000
"2490",151000
"2491",126000
"2492",116000
"2493",133500
"2494",120875
"2495",137000
"2496",124000
"2497",135000
"2498",129200
"2499",260000
"2500",260000
"2501",334000
"2502",310000
"2503",268000
"2504",262000
"2505",176400
"2506",197000
"2507",151000
"2508",147400
"2509",149900
"2510",144152
"2511",166000
"2512",183900
"2513",165000
"2514",139000
"2515",200000
"2516",221000
"2517",270000
"2518",165000
"2519",214000
"2520",188000
"2521",190000
"2522",170000
"2523",385000
"2524",146500
"2525",170000
"2526",262500
"2527",179900
"2528",250000
"2529",165150
"2530",164500
"2531",140000
"2532",135500
"2533",142000
"2534",155000
"2535",157500
"2536",138500
"2537",140000
"2538",124400
"2539",158000
"2540",146000
"2541",190000
"2542",136500
"2543",129900
"2544",145000
"2545",185900
"2546",160000
"2547",167000
"2548",157500
"2549",140000
"2550",150000
"2551",151500
"2552",129800
"2553",137000
"2554",137000
"2555",121600
"2556",85500
"2557",79900
"2558",127000
"2559",161000
"2560",146500
"2561",135000
"2562",137900
"2563",133000
"2564",137000
"2565",121000
"2566",119000
"2567",172000
"2568",98600
"2569",226000
"2570",118000
"2571",235000
"2572",135000
"2573",132500
"2574",143000
"2575",132000
"2576",145250
"2577",162000
"2578",148000
"2579",141000
"2580",153000
"2581",134450
"2582",135960
"2583",156000
"2584",140000
"2585",139500
"2586",155000
"2587",127000
"2588",133500
"2589",125000
"2590",142000
"2591",167000
"2592",159000
"2593",180000
"2594",127000
"2595",112000
"2596",99800
"2597",117000
"2598",108480
"2599",68000
"2600",86900
"2601",120000
"2602",155500
"2603",80000
"2604",105000
"2605",160000
"2606",170000
"2607",160000
"2608",159950
"2609",165000
"2610",159000
"2611",147000
"2612",115000
"2613",159500
"2614",120000
"2615",129900
"2616",183000
"2617",157500
"2618",277500
"2619",207500
"2620",147500
"2621",135000
"2622",109500
"2623",109900
"2624",133700
"2625",81400
"2626",87500
"2627",93500
"2628",119000
"2629",141000
"2630",146000
"2631",155000
"2632",134500
"2633",120000
"2634",105000
"2635",124000
"2636",169000
"2637",107000
"2638",135000
"2639",111500
"2640",156500
"2641",178000
"2642",139900
"2643",105000
"2644",110000
"2645",111500
"2646",108000
"2647",111500
"2648",124000
"2649",105000
"2650",116000
"2651",96900
"2652",135500
"2653",139000
"2654",61500
"2655",120000
"2656",126175
"2657",64000
"2658",137000
"2659",87000
"2660",163000
"2661",155000
"2662",79000
"2663",144000
"2664",114504
"2665",157000
"2666",125000
"2667",475000
"2668",93500
"2669",125000
"2670",64500
"2671",100000
"2672",140200
"2673",202500
"2674",159000
"2675",119900
"2676",114500
"2677",115000
"2678",75000
"2679",88000
"2680",80500
"2681",149000
"2682",110000
"2683",110500
"2684",89000
"2685",113000
"2686",109000
"2687",220000
"2688",129000
"2689",117000
"2690",52500
"2691",107000
"2692",116500
"2693",72000
"2694",119500
"2695",125500
"2696",91000
"2697",84500
"2698",90000
"2699",137500
"2700",150000
"2701",131000
"2702",130000
"2703",125000
"2704",80000
"2705",157000
"2706",148000
"2707",90000
"2708",154500
"2709",153600
"2710",164500
"2711",132000
"2712",142500
"2713",158000
"2714",149500
"2715",165000
"2716",180000
"2717",160500
"2718",156500
"2719",157000
"2720",172500
"2721",155000
"2722",170000
"2723",105000
"2724",145000
"2725",168000
"2726",278000
"2727",164000
"2728",225000
"2729",130000
"2730",142500
"2731",148400
"2732",190000
"2733",146000
"2734",128000
"2735",225000
"2736",274970
"2737",235000
"2738",415000
"2739",182000
"2740",135000
"2741",137000
"2742",136900
"2743",149900
"2744",123500
"2745",93000
"2746",91500
"2747",180000
"2748",209000
"2749",215000
"2750",224500
"2751",229800
"2752",183600
"2753",194000
"2754",193879
"2755",221500
"2756",204900
"2757",239799
"2758",233555
"2759",260000
"2760",294900
"2761",209700
"2762",225000
"2763",181000
"2764",220000
"2765",190000
"2766",180000
"2767",280000
"2768",158900
"2769",148000
"2770",145000
"2771",187000
"2772",193000
"2773",156000
"2774",235000
"2775",217000
"2776",214000
"2777",196000
"2778",217000
"2779",200000
"2780",192500
"2781",205000
"2782",132500
"2783",157500
"2784",174000
"2785",128500
"2786",128500
"2787",149900
"2788",119900
"2789",137000
"2790",255000
"2791",222000
"2792",214000
"2793",220000
"2794",275000
"2795",197000
"2796",230000
"2797",268500
"2798",210900
"2799",227000
"2800",237000
"2801",274300
"2802",216837
"2803",133000
"2804",155900
"2805",233230
"2806",207000
"2807",195000
"2808",200000
"2809",203160
"2810",195800
"2811",212900
"2812",196500
"2813",198000
"2814",173900
"2815",163990
"2816",164990
"2817",98000
"2818",149900
"2819",102000
"2820",127500
"2821",127500
"2822",119900
"2823",196500
"2824",117250
"2825",229000
"2826",145000
"2827",140000
"2828",142500
"2829",134000
"2830",130000
"2831",130000
"2832",137500
"2833",130000
"2834",97900
"2835",92000
"2836",107000
"2837",81000
"2838",104900
"2839",115000
"2840",125000
"2841",116000
"2842",83000
"2843",118500
"2844",35000
"2845",121000
"2846",160000
"2847",140000
"2848",137000
"2849",128000
"2850",160000
"2851",138887
"2852",149000
"2853",102000
"2854",167000
"2855",200100
"2856",131000
"2857",112000
"2858",140000
"2859",195000
"2860",230000
"2861",194000
"2862",137500
"2863",250000
"2864",218000
"2865",239000
"2866",199500
"2867",210000
"2868",230000
"2869",217500
"2870",257000
"2871",157000
"2872",223000
"2873",102000
"2874",145400
"2875",72000
"2876",85000
"2877",106500
"2878",139000
"2879",108000
"2880",51689
"2881",35311
"2882",115000
"2883",78000
"2884",375000
"2885",300000
"2886",242500
"2887",145000
"2888",209000
"2889",135000
"2890",148000
"2891",171000
"2892",335000
"2893",230000
"2894",250764
"2895",228000
"2896",176000
"2897",180000
"2898",250000
"2899",202000
"2900",312500
"2901",320000
"2902",369900
"2903",359900
"2904",81500
"2905",215000
"2906",164000
"2907",153500
"2908",84500
"2909",104500
"2910",127000
"2911",151400
"2912",126500
"2913",146500
"2914",73000
"2915",79400
"2916",140000
"2917",92000
"2918",87550
"2919",79500
"2920",90500
"2921",71000
"2922",150900
"2923",188000
"2924",160000
"2925",131000
"2926",142500
"2927",131000
"2928",132000
"2929",170000
"2930",188000
